Group	uGroup	Grade	XQGRade	CNProblems	QGrade	Year	DAG	N,Sessions	N,Sessions,Before	N,Sessions,After	N,Sessions,Solve	Days,AcademicPeriod	Mins,AcademicPeriod	Mins,GroupPeriod	Newcomer	Mins,Starter	Mins,ReactionTime	Mins,EarlyBird	Mins,ClosingTime	Mins,Sessions	Mins,Sessions,Before	Mins,Sessions,After	LARVA	N,ProblemsSolved	PATH	Mins,Day	W Problems Solved	Size	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP1	LAP2	LAP3	LAP4	LAP5	LAP6	LAP7	LAP8	LAP9	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	KM	
DBA 2021 P2 GF	DBA_2021_P2_GF	9,200	3	73	Q3	Y2020	0,594	166	72	94	70	16,693	24038,117	0,416	0,690	9,814	0,017	0,678	0,979	0,003	0,000	0,003	YES	7	P1 P3 P4 P5 P2 P6 P7	4,675	0,830	0	0,170	10,770	2,646	0,671	0,981	4	8	16	18	24	32	36	38	38	4	8	12	12	16	24	28	28	28	1	1	4	4	12	18	18	24	24	24	1	1	2	2	3	3	3	3	3	2	3
DBA 2021 P2 GG	DBA_2021_P2_GG	8,200	1	83	Q1	Y2020	0,732	241	33	208	174	16,693	24038,117	0,602	0,240	1,660	0,000	0,231	0,266	0,003	0,000	0,003	YES	8	P1 P2 P3 P6 P5 P7 P8 P9	4,569	0,318	1	0,682	11,136	2,828	0,931	1,196	4	6	8	10	12	24	26	30	40	4	4	4	4	4	16	16	20	24	1	1	1	1	1	4	4	4	48	48	1	1	1	1	1	1	1	1	1	2	3
DBA 2021 P2 GH	DBA_2021_P2_GH	7,800	1	73	Q1	Y2020	0,872	281	48	233	80	16,693	24038,117	0,972	0,574	0,491	0,041	0,587	0,684	0,002	0,000	0,002	YES	7	P1 P2 P4 P5 P8 P7 P9	3,031	0,723	1	0,277	15,969	2,646	0,887	0,995	4	10	14	20	24	26	28	34	34	4	10	14	20	24	24	24	30	30	1	2	2	4	4	4	4	16	16	16	1	2	2	4	4	4	4	8	8	2	3
DBA 2021 P2 GI	DBA_2021_P2_GI	9,600	4	94	Q4	Y2020	0,996	341	17	324	215	16,693	24038,117	0,419	0,416	2,804	0,000	0,399	0,510	0,007	0,000	0,007	YES	9	P1 P2 P3 P5 P6 P7 P8 P9 P4	10,648	0,434	1	0,566	12,410	3,000	0,950	1,369	4	6	8	10	14	22	28	34	36	4	4	4	4	10	14	18	22	22	1	1	1	1	1	4	8	16	16	432	1	1	1	1	1	2	2	2	2	2	3
DBA 2021 P2 GJ	DBA_2021_P2_GJ	8,800	2	94	Q2	Y2020	0,921	458	12	446	324	16,693	24038,117	0,778	0,417	0,639	0,000	0,400	0,706	0,005	0,000	0,004	YES	9	P1 P2 P3 P5 P4 P6 P7 P8 P9	6,560	0,496	1	0,504	15,264	3,000	0,986	1,992	4	6	8	10	12	16	22	44	46	4	4	4	4	4	4	8	26	26	1	1	1	1	1	2	3	108	108	144	1	1	1	1	1	1	1	4	4	2	3
DBA 2021 P2 GK	DBA_2021_P2_GK	9,600	4	83	Q4	Y2020	1,051	282	8	274	151	16,693	24038,117	0,704	0,496	0,000	0,000	0,476	0,702	0,007	0,000	0,007	YES	8	P1 P3 P7 P8 P2 P9 P4 P5	10,202	0,617	1	0,383	11,180	2,828	0,768	0,235	2	8	10	14	18	30	34	36	42	2	10	10	14	18	28	30	30	34	1	1	1	1	1	12	24	24	96	96	1	2	2	2	4	16	16	16	16	2	3
DBA 2021 P2 GL	DBA_2021_P2_GL	9,600	4	83	Q4	Y2020	1,141	610	24	586	263	16,693	24038,117	0,783	0,599	2,471	0,028	0,588	0,858	0,006	0,000	0,006	YES	8	P1 P2 P3 P4 P5 P7 P9 P8	8,808	0,738	1	0,262	10,954	2,828	0,860	1,877	4	6	8	12	14	34	42	46	62	4	4	4	8	8	24	30	32	36	1	1	1	1	1	16	96	144	5832	5832	1	1	1	1	1	4	8	8	16	2	1
DBA 2021 P2 GM	DBA_2021_P2_GM	9,600	4	83	Q4	Y2020	0,757	97	11	86	63	16,693	24038,117	0,587	0,548	2,688	0,000	0,525	0,642	0,002	0,000	0,002	YES	8	P1 P2 P3 P5 P4 P7 P8 P9	3,432	0,645	1	0,355	14,177	2,828	0,911	1,599	4	6	8	10	12	20	24	26	28	4	4	4	4	4	8	12	12	16	1	1	1	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	2	3
DBA 2122 P2 GA	DBA_2122_P2_GA	8,990	3	92	Q2	Y2021	0,919	384	34	350	136	38,978	56128,900	1,000	0,463	0,000	0,070	0,534	0,809	0,037	0,023	0,014	YES	9	P1 P2 P3 P4 P6 P7 P8 P9 P5	53,273	0,622	1	0,378	10,392	3,000	0,872	0,647	4	8	14	18	24	32	40	58	64	4	8	16	20	24	36	44	58	60	1	1	2	2	4	8	16	1152	2880	27648	1	1	4	4	8	32	64	1728	1728	3	1
DBA 2122 P2 GB	DBA_2122_P2_GB	10,000	4	82	Q4	Y2021	0,756	499	75	424	83	38,978	56128,900	0,962	0,561	1,132	0,041	0,571	0,790	0,013	0,002	0,011	YES	8	P1 P2 P3 P4 P5 P6 P8 P7	18,308	0,728	1	0,272	9,747	2,828	0,784	0,683	4	14	16	18	22	32	54	60	80	4	14	14	16	20	28	40	44	60	1	2	2	2	2	12	864	1152	165888	165888	1	2	2	2	2	8	128	128	2048	3	1
DBA 2122 P2 GC	DBA_2122_P2_GC	9,730	4	82	Q3	Y2021	0,799	555	83	472	160	38,978	56128,900	0,874	0,410	0,927	0,035	0,411	0,683	0,014	0,002	0,011	YES	8	P1 P2 P3 P5 P4 P6 P7 P8	19,956	0,593	1	0,407	9,381	2,828	0,783	0,766	4	8	12	18	24	32	34	84	114	4	8	12	20	26	38	40	68	92	1	1	1	1	4	8	8	276480	58320000000	58320000000	1	1	1	2	8	64	64	34992	6718464	1	2
DBA 2122 P2 GD	DBA_2122_P2_GD	9,540	3	91	Q2	Y2021	0,958	381	140	241	94	38,978	56128,900	0,847	0,563	1,845	0,005	0,568	0,873	0,016	0,005	0,011	YES	9	P1 P2 P3 P4 P5 P6 P7 P8 P9	23,432	0,658	1	0,342	10,630	3,000	0,953	0,717	4	8	10	12	14	16	22	40	56	4	8	8	8	8	8	16	28	34	1	1	1	1	1	1	1	64	1920	98304	1	1	1	1	1	1	1	6	12	2	1
DBA 2122 P2 GE	DBA_2122_P2_GE	9,670	4	91	Q3	Y2021	1,040	191	37	154	62	38,978	56128,900	0,860	0,530	1,135	0,055	0,585	0,889	0,010	0,002	0,007	YES	9	P1 P2 P3 P5 P6 P7 P8 P4 P9	13,749	0,670	1	0,330	11,358	3,000	0,944	1,114	4	10	14	18	20	24	28	38	42	4	10	12	14	14	20	24	34	34	1	1	2	3	3	3	3	12	24	576	1	1	1	2	2	2	2	8	8	2	3
DBA 2122 P2 GF	DBA_2122_P2_GF	8,980	3	92	Q2	Y2021	0,877	455	70	385	89	38,978	56128,900	0,846	0,364	1,789	0,037	0,402	0,714	0,022	0,007	0,015	YES	9	P1 P3 P2 P4 P5 P6 P7 P8 P9	31,942	0,487	1	0,513	11,136	3,000	0,931	0,615	4	12	20	28	32	40	46	56	74	4	12	20	26	30	40	44	54	62	1	2	8	24	24	72	144	864	34560	518400	1	4	8	16	32	96	96	576	3840	3	1
DBA 2122 P2 GG	DBA_2122_P2_GG	9,750	4	82	Q3	Y2021	0,844	368	61	307	100	38,978	56128,900	0,849	0,596	3,899	0,012	0,589	0,732	0,014	0,002	0,012	YES	8	P1 P3 P2 P5 P4 P6 P7 P8	20,350	0,722	1	0,278	8,000	2,828	0,770	0,549	4	10	12	26	30	34	42	58	98	4	10	10	26	30	34	40	60	82	1	1	1	4	8	16	96	960	4354560	4354560	1	1	1	4	8	12	48	1920	311040	3	1
DBA 2122 P2 GH	DBA_2122_P2_GH	8,880	2	82	Q1	Y2021	0,837	303	17	286	105	38,978	56128,900	0,975	0,534	0,924	0,005	0,520	0,611	0,013	0,001	0,011	YES	8	P1 P2 P3 P5 P6 P7 P4 P8	18,485	0,665	1	0,335	10,724	2,828	0,795	1,001	2	8	12	14	18	24	28	36	72	2	10	12	12	16	22	26	30	58	1	1	2	2	2	2	2	16	51840	51840	1	2	4	4	4	4	4	8	2304	3	1
DBA 2122 P2 GI	DBA_2122_P2_GI	9,750	4	92	Q3	Y2021	0,646	549	58	491	225	38,978	56128,900	0,922	0,513	1,600	0,026	0,539	0,799	0,019	0,003	0,016	YES	9	P1 P2 P3 P4 P6 P5 P8 P7 P9	26,929	0,609	1	0,391	8,426	3,000	0,928	0,347	4	12	16	20	22	24	26	42	140	4	12	16	20	20	20	20	26	98	1	1	1	1	1	1	1	36	99532800000000	497664000000000	1	1	1	1	1	1	1	2	4082400	1	2
DBA 2122 P2 GJ	DBA_2122_P2_GJ	9,760	4	92	Q3	Y2021	0,921	303	73	230	87	38,978	56128,900	0,850	0,379	1,592	0,171	0,551	0,890	0,008	0,002	0,006	YES	9	P1 P2 P6 P3 P5 P7 P8 P4 P9	12,041	0,647	0	0,353	11,747	3,000	0,963	1,067	4	12	20	22	28	36	40	56	78	4	12	20	20	24	28	32	40	52	1	1	2	2	8	32	32	1728	124416	248832	1	1	2	2	4	4	4	16	256	3	1
DBA 2122 P2 GK	DBA_2122_P2_GK	8,840	2	92	Q1	Y2021	0,883	464	38	426	93	38,978	56128,900	0,897	0,455	1,583	0,063	0,518	0,819	0,014	0,001	0,013	YES	9	P1 P2 P3 P5 P6 P7 P8 P9 P4	20,782	0,590	1	0,410	8,544	3,000	0,929	0,757	4	8	14	20	22	26	30	74	76	4	8	14	20	20	26	30	56	56	1	1	2	2	2	2	2	18432	18432	3483648	1	1	3	3	3	3	3	432	432	3	1
DBA 2122 P2 GL	DBA_2122_P2_GL	9,770	4	92	Q3	Y2021	0,823	251	48	203	66	38,978	56128,900	0,955	0,463	1,620	0,053	0,516	0,759	0,008	0,001	0,007	YES	9	P1 P2 P3 P4 P6 P5 P7 P8 P9	12,025	0,618	1	0,382	13,191	3,000	0,965	0,804	4	10	20	24	30	32	36	54	58	4	10	18	22	28	30	34	44	50	1	2	12	12	12	12	24	1152	1152	497664	1	2	6	6	6	6	12	48	72	2	1
DBA 2122 P2 GM	DBA_2122_P2_GM	7,850	1	82	Q1	Y2021	0,937	552	214	338	70	38,978	56128,900	0,879	0,554	2,544	0,038	0,569	0,783	0,017	0,005	0,012	YES	8	P1 P2 P3 P4 P5 P6 P8 P7	24,872	0,729	1	0,271	10,392	2,828	0,804	0,132	2	8	14	16	20	38	66	68	100	2	10	16	18	22	40	66	68	90	1	1	2	2	2	72	15552	15552	6967296	6967296	1	2	4	4	4	144	15552	15552	2239488	3	1
DBA 2122 P2 GN	DBA_2122_P2_GN	7,700	1	92	Q1	Y2021	0,811	187	76	111	48	38,978	56128,900	0,897	0,539	1,575	0,093	0,631	0,937	0,008	0,003	0,005	YES	9	P1 P2 P5 P6 P3 P4 P7 P8 P9	11,940	0,718	1	0,282	11,180	3,000	0,932	0,526	4	20	24	28	30	40	46	50	58	4	20	24	26	26	34	38	40	50	1	4	4	8	8	24	72	144	648	62208	1	4	4	4	4	6	12	12	108	2	1
DBA 2122 P2 GO	DBA_2122_P2_GO	9,920	4	92	Q3	Y2021	0,747	399	22	377	147	38,978	56128,900	0,897	0,535	1,610	0,003	0,538	0,862	0,012	0,002	0,010	YES	9	P1 P2 P3 P5 P4 P6 P7 P8 P9	17,905	0,630	0	0,370	10,296	3,000	0,961	0,634	4	8	16	22	24	28	34	42	100	4	8	14	24	24	28	34	40	70	1	1	3	3	3	6	6	24	2985984	5225472	1	1	2	8	8	8	16	16	23040	3	1
DBA 2122 P2 GP	DBA_2122_P2_GP	8,970	3	82	Q2	Y2021	0,819	272	79	193	34	38,978	56128,900	0,768	0,684	7,591	0,036	0,711	0,896	0,009	0,005	0,003	YES	8	P1 P6 P2 P3 P5 P7 P8 P4	13,363	0,811	1	0,189	9,849	2,828	0,812	0,471	4	18	20	30	32	38	44	58	76	4	18	20	28	28	30	38	48	56	1	2	2	9	9	24	24	768	28800	28800	1	2	2	12	12	12	24	384	1296	3	1
